species,X1...2,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52
Cypripedium henryi,695314,52,13,13,13,30.007,6.087,104.449,10.525,1,11.34495834459085,9.627354244391123,32.75168329678229,686.1067841408428,25.098499298095703,-3.1982500553131104,27.964500665664673,18.91416645050049,2.3149166107177734,19.630791664123535,2.3149166107177734,936,174,13,71.74110388837155,489,54,485,54,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34,1,1,1,1,1,1
Cypripedium himalaicum,352563,24,6,6,6,29.364,3.731,87.326,12.681,1,1.5233541197376326,10.6493644186606,41.25395138936085,604.0555610810011,17.059499740600586,-13.002500057220459,29.436500072479248,9.659478942553202,-4.980875025192896,9.735124786694843,-6.120062460501989,709.5,162,4,91.23968339971074,394.5,25,377.5,34,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,14,1,1,1,1,1,1
Cypripedium irapeanum,815402,308,81,53,64,17.81,3.885,-97.013,10.195,1,19.9935937722524,12.750166893005371,73.97203578535704,160.66632453438658,28.286500930786133,11.228249549865723,17.076250076293945,20.785374800364178,18.639291445414226,21.953333377838135,17.918166796366375,1120,225,6,93.32162110978875,628,25,307,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36,1,1,1,1,1,1
Cypripedium japonicum,747511,52,13,13,13,31.359,6.935,118.109,30.122,1,15.054987641672293,8.306125191350779,26.88805791761521,809.8024339456217,29.32525062561035,-0.731249988079071,30.36000084877014,22.726125081380207,5.181034495433171,24.427666982014973,4.796333233515422,1385,217,27,57.921479943994136,552,95,537,95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cypripedium kentuckiense,416830,32,8,7,7,34.241,6.218,-89.454,15.255,1,15.942104210145772,12.471020790437858,36.49074202288844,810.8784063497583,33.2916259765625,-2.3389999866485596,34.5390003323555,15.075812697410583,20.47895820935567,25.499937852223713,5.59420835847656,1367.5,158,80,17.04975284268894,423.5,276.5,307,313.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,1,1,1,1,1,1
Cypripedium lichiangense,743,12,3,3,3,27.276,0.852,100.056,0.475,1,6.485583336402972,10.223979180057844,38.7535170326969,538.9276504442112,19.291000366210937,-6.56374979019165,25.854750156402588,12.733833392461142,0.35633329550425213,12.733833392461142,-0.44116663932800293,789,138,10,67.39702381098961,365,45,365,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,1,1,1,1,1,1
Cypripedium ludlowii,0,4,1,1,1,31.712,0,88.118,0,1,0.24427081334094206,11.063833240419626,33.99549405035925,834.7231960584525,17.348499298095703,-15.196499824523926,32.54499912261963,10.296958128611246,-8.181541574498018,10.448249816894531,-9.566374937693277,317,72,3,94.34001652699985,195,11,182,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1
Cypripedium macranthos,12623274,436,144,67,81,52.144,13.671,91.509,63.719,1,1.562812606493632,10.447895814975103,22.93171647843161,1247.9191202019642,23.097999572753906,-21.80900001525879,44.979000091552734,16.831249713897705,-11.905333315332731,16.831249713897705,-14.28487491607666,592,80,16,47.31840352421264,208,57,204,74,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,31,1,1,1,1,1,1
Cypripedium margaritaceum,43883,32,8,7,7,27.034,1.94,100.585,2.245,1,10.654359295964241,10.358437585333984,41.151709288514404,515.2209298274526,22.98537540435791,-2.38162499666214,25.330874502658844,16.622541666030884,4.2110416032373905,16.622541666030884,3.8514166312913103,806,145,9,67.62278547367454,381,41.5,381,49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,1,1,1,1,1,1
Cypripedium molle,13181,72,21,14,15,17.249,1.584,-97.071,1.606,1,19.102718830108643,13.33816679318746,74.62433452664344,151.34040232825328,26.576000213623047,10.10949993133545,17.85075092315674,19.54308334986369,17.833624998728435,20.4743750890096,17.600624879201252,674,145,5,91.77318163271475,356,17,254,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30,1,1,1,1,1,1
Cypripedium montanum,2689132,1080,287,167,206,48.089,11.684,-118.675,12.233,1,5.011749976625045,10.575770671168963,33.56287502511539,766.3378572783414,19.974000930786133,-11.536749839782715,31.51900005340576,0.3059166471163432,12.09891668955485,14.315541744232178,-4.459583242734273,724,101,27,33.957818491994445,262,96,130,188,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,15,1,1,1,1,1,1
Cypripedium palangshanense,0,4,1,1,1,31.47,0,110.32,0,1,7.492166725297769,8.884250168999037,30.439847891160028,732.2215509696846,21.68000030517578,-7.506249904632568,29.18625020980835,16.296833515167236,-1.8591249585151672,16.296833515167236,-1.8591249585151672,1294,213,21,62.87006879333759,558,73,558,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,1,1,1,1,1
Cypripedium passerinum,6803529,1328,346,254,289,59.408,16.746,-125.174,68.014,1,-2.891734458816548,9.985604184369246,23.01865580530921,1213.0568561154573,17.739999771118164,-26.178874969482422,43.737874031066895,11.081750214099884,-9.663145760695139,12.055041591326397,-17.9416876633962,425,70,15,52.03475539671979,186,50.5,183,65,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,7,1,1,1,1,1,1
Cypripedium plectrochilum,242857,72,18,17,17,28.224,4.598,101.239,4.135,1,10.424500011528531,10.198583397548646,38.85703835098135,609.9038235758601,22.70050048828125,-3.1982500553131104,26.16374969482422,16.343541940053303,2.5545832316080728,16.343541940053303,2.5545832316080728,789,155,8,81.37863250496606,406,37,385,37,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34,1,1,1,1,1,1
Cypripedium reginae,4374328,3132,893,426,582,45.624,8.378,-83.518,31.899,1,5.532124946514766,10.67910411953926,25.02977191127705,1060.5877920199755,23.922500610351563,-15.871999740600586,39.93149948120117,17.666291395823162,-6.051833311716716,18.231083393096924,-8.006666640440622,840,103,41,23.631126987653925,289,151,279,163,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,28,1,1,1,1,1,1
Cypripedium segawae,0,8,2,2,2,24.192,0.135,121.275,0.075,1,10.4629479739815,9.078750114887953,44.62863171928961,433.40739734726026,20.340624809265137,-0.0012499988079071045,20.341874808073044,14.357187509536743,6.191583337883154,15.102875073750813,4.724812564750512,3232,450.5,67.5,55.22524134912711,1317.5,248.5,1285.5,353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,1,1,1,1,1
Cypripedium shanxiense,228935,40,10,10,10,39.79,7.634,118.231,24.498,1,7.948895722938081,12.934437486032646,28.932915980374247,1149.9118533930987,28.900750160217285,-15.170124530792236,43.05674982070923,20.353291829427086,-6.88402079915007,21.305562257766724,-6.88402079915007,493.5,124.5,3,102.1647182166997,313,11.5,304.5,11.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.5,1,1,1,1,1,1
Cypripedium taibaiense,0,4,1,1,1,33.976,0,107.249,0,1,6.707604187230269,9.743958388765654,30.793653358886814,799.6240462901808,21.671499252319336,-9.9712495803833,31.642748832702637,15.357791662216187,-3.601625015338262,16.26854149500529,-3.601625015338262,759,134,5,75.22848231259518,383,21,338,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,1,1,1,1,1
Cypripedium tibeticum,1883475,112,30,25,26,29.119,6.683,100.716,11.002,1,6.485583336402972,10.614687390935918,38.7535170326969,613.7232223934415,19.291000366210937,-6.56374979019165,26.74412528797984,12.733833392461142,0.35633329550425213,12.733833392461142,-0.44116663932800293,804.5,146,6.5,81.54294990495706,386,25,386,25,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Cypripedium wardii,0,8,2,2,2,28.574,0.158,98.189,1.3,1,2.9915208282570047,10.911729209125042,39.393661716096304,642.0528234881434,16.94949960708618,-10.745625019073486,27.695124626159668,10.375333388646443,-3.5532916734615965,10.375333388646443,-4.994041735927263,792,157,8.5,75.11990987708242,406.5,35.5,406.5,40.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.5,0,1,1,1,1,1
Cypripedium yunnanense,133061,28,7,7,7,30.821,4.033,101.454,3.815,1,3.3561250840624175,11.518625130256018,38.61583765692508,666.7863940082963,18.493999481201172,-10.73900032043457,29.305499792099,11.439624786376953,-4.6314166461428,11.439624786376953,-4.779791543881099,713,136,3,85.1001055806951,349,14,349,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,1,1,1,1,1,1
