species	tot_occ	uni_occ	mean_lat	mean_lon	lat_range	lon_range	lat_hemisphere	eoo	aoo	1	2	7	10	13	3	4	5	6	11	98	8	12	9	14	99	bio1	bio4	bio11	bio12	bio15	bio17	range_bio1	range_bio4	range_bio11	range_bio12	range_bio15	range_bio17	humanfootprint_1993_1	humanfootprint_1993_2	humanfootprint_1993_3	humanfootprint_1993_4	humanfootprint_2009_1	humanfootprint_2009_2	humanfootprint_2009_3	humanfootprint_2009_4
Angraecum bancoense	1.9138139	1.9138139	0.0126555556	 0.058250000	1.015770e+00	1.5589088757	1	6.48536402	2.4785665	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	 1.68666667	2.925828	 16.06666667	3.294025	1.7781513	2.1398791	 2.3333333	2.9943172	 2.53333333	3.2342641	1.7323938	2.4712917	0.19	0.32	0.22	0.27	0.21	0.27	0.28	0.24
Angraecum bicallosum	1.5185139	1.5185139	0.2050111111	 0.268461111	6.187910e-01	0.2454077829	0	4.29641288	1.7242759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411788	 10.53333333	3.220108	1.8864907	2.1461280	 1.9900000	2.8510136	 2.36666667	2.5202214	1.4022614	1.9429996	0.00	0.97	0.03	0.00	0.00	0.56	0.44	0.00
Angraecum compactum	2.3283796	2.3283796	0.2089444444	 0.268038889	7.407135e-01	0.4511867567	0	5.27162931	2.4297523	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411788	 10.53333333	3.220108	1.8864907	2.1461280	 2.3800000	2.7657430	 2.45333333	2.6946052	1.4835873	2.1205739	0.00	0.82	0.08	0.10	0.00	0.66	0.25	0.10
Angraecum cornucopiae	1.0413927	1.0413927	0.1657777778	 0.273827778	8.326950e-01	0.2723858753	0	4.43419210	1.5682017	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.47666667	3.245513	 13.10000000	3.198382	1.8779470	2.1598678	 1.7433333	3.0572856	 2.45666667	2.8641550	1.5993371	2.2058807	0.00	0.70	0.20	0.10	0.00	0.60	0.40	0.00
Angraecum coutrixii	0.8450980	0.8450980	0.2284555556	 0.258861111	3.348407e-02	0.0864043258	0	2.20652905	1.3222193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.16000000	3.383815	  9.20000000	3.124830	1.9912261	1.5682017	 0.5166667	1.9578466	 0.50000000	1.5740313	0.7403627	1.0969100	0.00	0.17	0.50	0.33	0.00	0.00	0.50	0.50
Angraecum cribbianum	0.3010300	0.3010300	0.0166666667	 0.062961111	0.000000e+00	0.0000000000	0	0.69897000	0.6989700	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.56000000	3.082785	 14.26666667	3.323665	1.8512583	1.3802112	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
Angraecum curvipes	0.4771213	0.4771213	0.0306222222	 0.060861111	4.513905e-02	0.1207943126	1	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.55666667	2.889302	 14.80000000	3.290591	1.7634280	2.2821688	 0.3000000	1.2787536	 0.24000000	2.2097830	0.0000000	1.2988531	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
Angraecum danguyanum	1.2304489	1.2304489	0.2055444444	 0.269277778	9.714823e-01	0.5437732445	0	4.83757922	1.6901961	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.33666667	3.402519	 11.16666667	3.238924	1.8633229	2.2095150	 3.4833333	2.9491460	 4.08333333	3.0797238	1.5682017	2.3237676	0.00	0.69	0.00	0.31	0.00	0.75	0.06	0.19
Angraecum dendrobiopsis	1.0791812	1.0791812	0.1773777778	 0.271205556	7.770823e-01	0.3003345680	0	4.47461506	1.6532125	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.27333333	3.315970	 10.40000000	3.173186	1.9590414	1.8512583	 2.7000000	2.8959747	 2.53333333	2.6848454	1.5118834	2.1658376	0.00	0.64	0.27	0.09	0.00	0.45	0.45	0.09
Angraecum distichum	2.1072100	2.1072100	0.0376555556	 0.040572222	1.077859e+00	1.5949355761	1	6.58508069	2.6674530	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.68000000	2.940516	 16.06666667	3.252125	1.7781513	2.1553360	 3.7800000	3.0139742	 3.38000000	3.1756857	1.7795965	2.4788550	0.10	0.30	0.34	0.26	0.07	0.17	0.48	0.28
Angraecum doratophyllum	0.6020600	0.6020600	0.0030777778	 0.036750000	6.440369e-03	0.0150578242	1	0.55193770	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.36666667	2.916454	 12.80000000	3.406710	1.7923917	1.9138139	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Angraecum egertonii	0.6020600	0.6020600	0.0579333333	 0.054566667	5.087209e-01	0.5466092831	1	4.42851807	1.1139434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.69333333	2.866878	 16.06666667	3.317227	1.7923917	1.9867717	 1.6800000	2.3471348	 1.62000000	2.9503649	1.0374265	1.8122447	0.00	0.00	0.67	0.33	0.00	0.00	1.00	0.00
