Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Paphiopedilum henryanum	23.2	7.2		1.46	7.11	4.38	39.74	11.55	17.2	10.53		22.14		38.98		9.98	22.17	21.26	41.17		13.77		35.27		14.0	8.26	0.29	43.29	24.47		8.47	5.49	0.89		38.17				42.28		0.07	5.68	7.57	12.52	1.09		28.48	4.75	15.94	16.48		30.02	15.33	8.16		4.66	29.66	5.34	49.1	29.58		5.6	10.61	35.45	16.74	26.74	18.36	29.78	19.13	46.1		14.61	18.55	3.03	34.99	31.25	33.14	19.25	28.95	25.02	15.34	15.84	30.94					0.14	11.77	13.4	0.7	3.72	1.36	35.01	11.45	15.82	39.87	3.81	30.98	0.96
Paphiopedilum hirsutissimum				40.9																							49.8																																												43.85																													
Paphiopedilum hookerae	31.87					27.9												6.67		18.99					11.14				7.38		37.87		5.86					29.27	29.34			29.99		8.72													11.02			45.25												35.68	33.9				34.6							0.3			14.07				18.69		34.74		24.3	9.15				
Paphiopedilum insigne															39.18		34.29						15.66								2.2																			1.15	15.11				36.3		48.83								17.67			21.77									4.77	22.34	18.28			20.86			37.14						19.74			44.51					19.01	
Paphiopedilum javanicum		27.62			27.61							43.84				39.4																							6.98			14.94		37.24	43.16	15.98	42.42							44.41			1.95				37.84						48.51				36.8							29.98										1.62		38.89							20.5			
Paphiopedilum lowii								44.27							24.32														18.85				8.02							45.86															14.03	32.53						13.59			21.02		0.22								19.09								17.93				14.95				20.69	18.42					48.52		14.74	
Paphiopedilum malipoense	40.67	25.73				13.26	21.82				5.35							26.06				13.57							48.52												7.66							29.06			37.19					20.94	22.78	22.36		20.87									40.6							32.2				20.51								15.41			29.6			6.26						
Paphiopedilum micranthum	9.56		21.38	15.45	18.61			7.46	4.71	14.25	8.72	38.7	28.27	24.77	14.12	17.87	8.35	32.13	22.5		15.92	17.41		20.66	8.84	18.54	0.77		35.89		7.03	0.14		24.49	6.21	18.29	2.26		21.53		26.08	23.95		0.65		17.82	31.89	0.37		30.61	16.01	12.54	15.57	13.88	0.95		6.51	34.62	5.26	27.05	16.42		13.34			19.9	14.2		5.36	17.3	28.57	33.78	2.26	17.71	19.82	6.74			9.66	19.43	8.66	7.86	0.86		21.38	40.17			1.08	13.93	36.74	2.58		1.88				43.67	10.43	33.11
Paphiopedilum niveum	40.37											17.5									30.84	34.32																						0.4	40.14		45.25		4.9	15.11	32.92		4.51			38.92	34.89	4.27						8.26	49.53		46.59					16.64	37.24	5.71		3.35		31.11				4.27	32.36							9.66					37.8					2.9
Paphiopedilum parishii			35.74	36.37				21.14		34.34	10.62		7.19	14.82								3.44				9.93		4.57					21.17										39.04				36.55		40.64									35.48	23.37		2.35					41.79			38.61																49.61		7.89							40.92				24.19		42.38
