	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
1538	Dendrobium schulleri																		DD			
1539	Dendrobium seranicum																			LC		
1540	Dendrobium shiraishii																		DD			
1541	Dendrobium simplex																		LC			
1542	Dendrobium sinense				EN																	
1543	Dendrobium sinominutiflorum				EN																	
1544	Dendrobium sleumeri																		DD			
1545	Dendrobium soriense																		VU			
1546	Dendrobium spathulatum																				DD	
1547	Dendrobium spectabile																			LC		
1548	Dendrobium spenceanum																		DD			
1549	Dendrobium spinuliferum																		DD			
1550	Dendrobium steatoglossum																				LC	
1551	Dendrobium stratiotes																			DD		
1552	Dendrobium strebloceras																				DD	
1553	Dendrobium strepsiceros																			DD		
1554	Dendrobium subacaule																			LC		
1555	Dendrobium subquadratum																		LC			
1556	Dendrobium subuliferum																		LC			
1557	Dendrobium sulphureum																		LC			
1558	Dendrobium sutiknoi																			DD		
1559	Dendrobium sylvanum																			LC		
1560	Dendrobium tangerinum																		VU			
1561	Dendrobium tapiniense																		VU			
1562	Dendrobium taurinum																				DD	
1563	Dendrobium taurulinum																				EN	
1564	Dendrobium terrestre																	LC				
1565	Dendrobium tokai																				NT	
1566	Dendrobium torricellense																		DD			
1567	Dendrobium trilamellatum																			LC		
1568	Dendrobium uncipes																		DD			
1569	Dendrobium undatialatum																			LC		
1570	Dendrobium unibulbe																	DD				
1571	Dendrobium vandifolium																				VU	
1572	Dendrobium verruciferum																				LC	
1573	Dendrobium vesiculosum																	LC				
1574	Dendrobium vexillarius																			LC		
1575	Dendrobium violaceoflavens																			LC		
1576	Dendrobium violaceominiatum																				NT	
1577	Dendrobium violaceum																			LC		
1578	Dendrobium violascens																				EN	
1579	Dendrobium virotii																				LC	
1580	Dendrobium whistleri																				VU	
1581	Dendrobium williamsianum																		NT			
1582	Dendrobium wilsonii				EN																	
1583	Dendrobium wisselense																		LC			
1584	Dendrobium woodsii																		LC			
1585	Dendrobium wulaiense																		VU			
1586	Dendrobium ypsilon																		DD			
1587	Dendrochilum foxworthyi																		VU			
1588	Dendrochilum gracile																		LC			
1589	Dendrochilum imitator																		VU			
1590	Dendrochilum loheri																		EN			
1591	Dendrochilum longipedicellatum																	VU				
1592	Dendrochilum magaense																		DD			
1593	Dendrochilum tuberculatum																		EN			
1594	Dendrophylax fawcettii														CR							
1595	Devogelia intonsa																			LC		
1596	Dichaea antioquiensis																		DD			
1597	Didymoplexis africana														LC							
1598	Dierama inyangense																			EN		
1599	Dierama latifolium													LC								
1600	Dierama nixonianum																	VU				
1601	Dierama plowesii																	VU				
1602	Dinklageella scandens													VU							EN	
1603	Dinklageella villiersi																				CR	
1604	Dipcadi guichardii				LC																	
1605	Dipcadi kuriensis				VU																	
1606	Diplandrorchis sinica				CR																	
1607	Dipodium freycinetioides																		DD			
1608	Disa aequiloba																			EN		
1609	Disa bodkinii														LC							
1610	Disa celata																		DD			
1611	Disa chimanimaniensis																		LC			
1612	Disa dichroa																		DD			
1613	Disa erubescens													LC								
1614	Disa extinctoria														NT							
1615	Disa katangensis													LC					DD			
1616	Disa nyikensis													LC					DD			
1617	Disa roeperocharoides																		DD			
1618	Disa satyriopsis																		DD			
1619	Disa thodei													LC								
1620	Disa ukingensis																		DD			
1621	Disa verdickii																		DD		DD	
1622	Disa walleri													LC								
1623	Disa zimbabweensis																			VU		
1624	Disperis aphylla													VU								
1625	Disperis bosseri															CR						
1626	Disperis ciliata															CR						
1627	Disperis egregia													CR								
1628	Disperis elaphoceras													LC								
1629	Disperis erucifera															EN						
1630	Disperis kamerunensis																				CR	
1631	Disperis kerstenii													EN								
1632	Disperis lanceolata															EN						
1633	Disperis majungensis															EN						
1634	Disperis masoalensis															EN						
1635	Disperis mildbraedii				VU																EN	
1636	Disperis natascha-oppeltae																			LC		
1637	Disperis nitida				EN																	
1638	Disperis reklieberae																			LC		
1639	Disperis stefan-jetteri																			LC		
1640	Distylodon sonkeanum																				CR	
1641	Diuris byronensis													CR								
1642	Dracaena afromontana													LC								
1643	Dracaena aletriformis																				LC	
1644	Dracaena americana																			LC		
1645	Dracaena arborea																			LC		
1646	Dracaena bueana																	DD				
1647	Dracaena calocephala																			VU		
1648	Dracaena camerooniana													LC								
1649	Dracaena cerasifera													LC								
1650	Dracaena cinnabari				VU																	
1651	Dracaena concinna																					NE
1652	Dracaena curtisii																	NT				
1653	Dracaena draco																					NE
1654	Dracaena elliptica																				LC	
1655	Dracaena floribunda																					NE
1656	Dracaena fontanesiana																				LC	
1657	Dracaena fragrans																			LC		
1658	Dracaena kupensis																				EN	
1659	Dracaena mannii																			LC		
1660	Dracaena multiflora																			LC		
1661	Dracaena ombet																					NE
1662	Dracaena parviflora																			DD		
1663	Dracaena reflexa																			LC		
1664	Dracaena rubroaurantiaca													DD								
1665	Dracaena serrulata																					NE
1666	Dracaena steudneri																			LC		
1667	Dracaena tamaranae																	CR				
1668	Dracaena umbraculifera																			CR		
1669	Dracaena viridiflora				VU																	
1670	Dracaena xiphophylla																			LC		
1671	Dracula antonii													DD								
1672	Dracula ligiae													DD								
1673	Dracula ripleyana														NT							
1674	Drimia fugax																		LC			
1675	Drimia maritima																		LC			
1676	Drimia porphyrostachys				DD																	
1677	Drimia sudanica																			EN		
1678	Drimia undata														LC							
1679	Drimia uniflora													LC								
1680	Drimiopsis perfoliata																			DD		
1681	Dryadella cristata																		DD			
1682	Dryadella minuscula																		LC			
1683	Dryadorchis barbellata																			LC		
1684	Dryadorchis dasystele																			DD		
1685	Dryadorchis huliorum																			DD		
1686	Dryadorchis minor																			DD		
1687	Dryadorchis singularis																			LC		
1688	Drymoanthus minimus																				LC	
1689	Earina deplanchei																				LC	
1690	Earina floripecten																				NT	
1691	Echeandia flavescens													LC								
1692	Echeandia parviflora													LC								
1693	Eggelingia ligulifolia																			EN		
1694	Elleanthus oliganthus													LC								
1695	Encyclia caicensis												EN									
1696	Encyclia kingsii														CR							
1697	Encyclia osmantha																		LC			
1698	Encyclia phoenicea														LC							
1699	Encyclia plicata																				EN	
1700	Encyclia spatella															LC						
1701	Epidendrum anthoceros																	LC				
1702	Epidendrum capricornu																	LC				
1703	Epidendrum carnevalii																		LC			
1704	Epidendrum cocoense								NT													
1705	Epidendrum criniferum													LC								
1706	Epidendrum diothonaeoides													VU								
1707	Epidendrum dorsocarinatum																	DD				
1708	Epidendrum fusiforme																	EN				
1709	Epidendrum geminiflorum													LC								
1710	Epidendrum gentryi															LC						
1711	Epidendrum hombersleyi																	VU				
1712	Epidendrum insulanum								NT													
1713	Epidendrum lanceolatum																	CR				
1714	Epidendrum microphyllum													LC								
1715	Epidendrum montserratense												CR									
1716	Epidendrum neudeckeri																	EN				
1717	Epidendrum oerstedii													LC								
1718	Epidendrum paniculatum																		DD			
1719	Epidendrum proligerum													LC								
1720	Epidendrum ramosum																	LC				
1721	Epidendrum syringothyrsus																	LC				
1722	Epidendrum tigriphyllum																		EN			
1723	Epidendrum torraense																		DD			
1724	Epigeneium treacherianum				VU																	
1725	Epipactis albensis											LC										
1726	Epipactis cretica																		EN			
1727	Epipactis cupaniana																		EN			
1728	Epipactis dunensis											DD										
1729	Epipactis gigantea																	LC				
1730	Epipactis greuteri											EN										
1731	Epipactis hyblaea																	CR				
1732	Epipactis ioessa																		EN			
1733	Epipactis leptochila											LC										
1734	Epipactis muelleri											LC										
1735	Epipactis nordeniorum											VU										
1736	Epipactis olympica																		EN			
1737	Epipactis palustris														LC							
1738	Epipactis phyllanthes											LC										
1739	Epipactis pinovica																			VU		
1740	Epipactis placentina											EN										
1741	Epipactis provincialis																		NT			
1742	Epipactis purpurata											LC										
1743	Epipactis rechingeri																		NT			
1744	Epipactis tallosii											EN										
1745	Epipactis troodi											EN							EN			
1746	Epipactis veratrifolia													LC								
1747	Eremurus anisopterus																	LC				
1748	Eremurus bucharicus																	LC				
1749	Eremurus kopet-daghensis													DD								
1750	Eremurus robustus																	LC				
1751	Eria bhutanica																	DD				
1752	Eria bidupensis																	EN				
1753	Eria carinata																		LC			
1754	Eria deliana																		DD			
1755	Eria parviflora														DD							
1756	Eriaxis rigida																				LC	
1757	Eriospermum andongense													LC								
1758	Eriospermum buchubergense				LC																	
1759	Eriospermum cecilii																				LC	
1760	Eriospermum citrinum				LC																	
1761	Eriospermum flexum				LC																	
1762	Eriospermum halenbergense				VU												LC					
1763	Eriospermum lavranosii				LC																	
1764	Eriospermum mackenii													LC								
1765	Erythrodes amboinensis																		DD			
1766	Erythrodes blumei													LC								
1767	Erythrorchis altissima													LC								
1768	Eucharis astrophiala			EN																		
1769	Eucrosia aurantiaca			EN																		
1770	Eucrosia dodsonii			VU																		
1771	Eucrosia stricklandii			VU																		
1772	Eulophia coddii			EN																		
1773	Eulophia ecristata															DD						
1774	Eulophia faberi				VU																	
1775	Eulophia fernandeziana													EN								
1776	Eulophia filifolia																		EN			
1777	Eulophia grandidieri															CR						
1778	Eulophia katangensis													LC								
1779	Eulophia mangenotiana															CR						
1780	Eulophia nervosa																	CR				
1781	Eulophia parilamellata													DD								
1782	Eulophia pocsii																			LC		
1783	Eulophia ramosa															LC						
1784	Eulophia reticulata															LC						
1785	Eulophia speciosa													LC								
1786	Eulophia taiwanensis				EN																	
1787	Eulophiella galbana																		VU			
1788	Eurycentrum atroviride														LC							
1789	Eurycentrum obscurum													LC								
1790	Freesia corymbosa													LC								
1791	Furcraea longaeva																				LC	
1792	Furcraea martinezii																				EN	
1793	Furcraea niquivilensis																				VU	
1794	Furcraea parmentieri																				LC	
1795	Galanthus cilicicus																		DD			
1796	Galanthus elwesii											DD										
1797	Galanthus gracilis											DD										
1798	Galanthus ikariae											VU										
1799	Galanthus koenenianus														VU							
1800	Galanthus nivalis											NT										
1801	Galanthus peshmenii											VU										
1802	Galanthus plicatus											LC										
1803	Galanthus reginae-olgae											VU										
1804	Galanthus trojanus											CR										
1805	Galeandra bicarinata															EN						
1806	Galeottia fimbriata															LC						
1807	Gastrochilus calceolaris				CR																	
1808	Gastrodia africana																				EN	
1809	Gastrodia elata				VU																	
1810	Gastrodia rwandensis																			LC		
1811	Gastrodia tuberculata				EN																	
1812	Gastrorchis tuberculosa															EN						
1813	Geissorhiza lithicola														VU							
1814	Geissorhiza outeniquensis														NT							
1815	Geissorhiza schinzii													LC								
1816	Genoplesium calopterum																				LC	
1817	Genyorchis macrantha																				EN	
1818	Geodorum recurvum													LC								
1819	Gethyllis britteniana														LC							
1820	Gladiolus andringitrae																	VU				
1821	Gladiolus antandroyi																	EN				
1822	Gladiolus bellus																		DD			
1823	Gladiolus bojeri																	NT				
1824	Gladiolus chevalierianus																			EN		
1825	Gladiolus flavoviridis																				VU	
1826	Gladiolus hajastanicus														VU							
1827	Gladiolus horombensis																	NT				
1828	Gladiolus italicus													LC								
1829	Gladiolus oppositiflorus														LC							
1830	Gladiolus palustris											DD										
1831	Gladiolus patersoniae													LC								
1832	Gladiolus pole-evansii			VU																		
1833	Gladiolus praecostatus																			VU		
1834	Gladiolus rupicola									LC												
1835	Gladiolus triphyllus																	LC				
1836	Gladiolus usambarensis									NT												
1837	Gladiolus zambesiacus																		VU			
1838	Gladiolus zimbabweensis																			VU		
1839	Glomera compressa																	LC				
1840	Glomera latipetala														DD							
1841	Glomera longa																	DD				
1842	Glomera oligantha														LC							
1843	Glomera subeciliata														DD							
1844	Glomera uniflora																	LC				
1845	Gomesa sessilis													LC								
1846	Gomesa silvana														EN							
1847	Gonatostylis bougainvillei																				VU	
1848	Gonatostylis vieillardii													NT							LC	
1849	Gongora arcuata																		VU			
1850	Gongora catilligera																		DD			
1851	Gongora portentosa																		LC			
1852	Gongora pseudoatropurpurea																		EN			
1853	Goodyera alveolata																	DD				
1854	Goodyera flaccida															CR						
1855	Goodyera macrophylla											CR										
1856	Goodyera perrieri															CR						
1857	Goodyera scripta																				LC	
1858	Grammangis spectabilis															CR						
1859	Grandiphyllum schunkeanum														CR							
1860	Graphorkis medemiae															CR						
1861	Griffinia intermedia																EN					
1862	Grosourdya quinquelobata																		LC			
1863	Gunnarella aymardii																				LC	
1864	Gunnarella begaudii																				LC	
1865	Gunnarella florenciae																				NT	
1866	Gunnarella neocaledonica																				LC	
1867	Gymnadenia archiducis-joannis											EN										
1868	Gymnadenia bicornis				EN																	
1869	Gymnadenia borealis											DD										
1870	Gymnadenia crassinervis				EN																	
1871	Gymnadenia frivaldii											LC										
1872	Gymnadenia lithopolitanica											EN										
1873	Gymnadenia odoratissima											LC										
1874	Gymnadenia rhellicani											LC										
1875	Gymnadenia runei											NT										
1876	Gymnadenia stiriaca											EN										
1877	Gymnadenia widderi											EN										
1878	Habenaria alinae																				CR	
1879	Habenaria angustissima																			EN		
1880	Habenaria armatissima													LC								
1881	Habenaria backeri																		EN			
1882	Habenaria batesii				EN																	
1883	Habenaria bosseriana																				CR	
1884	Habenaria christianii													DD								
1885	Habenaria coeloglossoides																			LC		
1886	Habenaria delavayi				VU																	
1887	Habenaria dichopetala																		EN			
1888	Habenaria dusenii													LC								
1889	Habenaria eggelingii																			LC		
1890	Habenaria fargesii				VU																	
1891	Habenaria finetiana				VU																	
1892	Habenaria fordii				VU																	
1893	Habenaria glazioviana													LC								
1894	Habenaria holotricha																		EN			
1895	Habenaria insularis																				DD	
1896	Habenaria isoantha													EN								
1897	Habenaria jacobii																			EN		
1898	Habenaria jaegeri																	EN				
1899	Habenaria jaguariahyvae													DD								
1900	Habenaria kornasiana													VU								
1901	Habenaria lehae																			LC		
1902	Habenaria leptoloba																		EN			
1903	Habenaria letouzeyana																				EN	
1904	Habenaria leucoceras													EN								
1905	Habenaria lewallei																			CR		
1906	Habenaria linguiformis																				EN	
1907	Habenaria macrostele																			NT		
1908	Habenaria mairei				VU																	
1909	Habenaria maitlandii																				EN	
1910	Habenaria microceras																					NE
1911	Habenaria monorrhiza													LC								
1912	Habenaria mossii			EN																		
1913	Habenaria nigrescens				VU																	
1914	Habenaria obovata																				EN	
1915	Habenaria parviflora													LC								
1916	Habenaria phantasma																				EN	
1917	Habenaria phylacocheira																				CR	
1918	Habenaria plectromaniaca													VU								
1919	Habenaria pleiophylla														LC							
1920	Habenaria prionocraspedon																				VU	
1921	Habenaria retroflexa														LC							
1922	Habenaria richardsiae													EN								
1923	Habenaria sacculata																		DD			
1924	Habenaria siamensis																		VU			
1925	Habenaria socotrana													LC								
1926	Habenaria stylites													VU								
1927	Habenaria supplicans													LC								
1928	Habenaria thomana				VU																	
1929	Habenaria tianae																		EN			
1930	Habenaria tridactylites											LC										
1931	Habenaria villosa													DD								
1932	Habenaria virens															LC						
1933	Habenaria wolongensis																		LC			
1934	Habenaria yuana				VU																	
1935	Haemanthus avasmontanus				LC																	
1936	Halleorchis aspidogynoides																				EN	
1937	Hammarbya paludosa																	LC				
1938	Hannonia hesperidum																		VU			
1939	Hederorkis seychellensis											EN										
1940	Helonoma bifida													LC								
1941	Hemipilia amesiana				EN																	
1942	Hemipilia crassicalcara				EN																	
1943	Hemipilia cruciata				EN																	
1944	Hemipilia flabellata				VU																	
1945	Hemipilia forrestii				VU																	
1946	Hemipilia henryi				EN																	
1947	Hemipilia limprichtii				VU																	
1948	Herminium ophioglossoides				VU																	
1949	Herminium pygmaeum																	NT				
1950	Hesperantha ballii																	LC				
1951	Hesperoyucca newberryi																				LC	
1952	Hesperoyucca peninsularis																				LC	
1953	Hesperoyucca whipplei																				LC	
1954	Hetaeria heterosepala													LC								
1955	Hetaeria pelota																	LC				
1956	Hexalectris revoluta															CR						
1957	Hexalectris warnockii															EN						
1958	Himantoglossum adriaticum											LC										
1959	Himantoglossum metlesicsianum											EN										
1960	Holcoglossum quasipinifolium				EN																	
1961	Holopogon gaudissartii				CR																	
1962	Holopogon smithianus				EN																	
1963	Holothrix filicornis				LC																	
1964	Holothrix johnstonii																		DD			
1965	Holothrix socotrana				VU																	
1966	Huntleya burtii													LC								
1967	Huntleya vargasii													NT								
1968	Hyacinthella millingenii																	LC				
1969	Hypoxidia maheensis											EN										
1970	Hypoxidia rhizophylla											VU										
1971	Hypoxis malaissei									DD												
1972	Inti chartacifolia													LC								
1973	Iris antilibanotica																CR					
1974	Iris assadiana																DD					
1975	Iris atrofusca																NT					
1976	Iris atropurpurea																CR					
1977	Iris auranitica																DD					
1978	Iris basaltica																DD					
1979	Iris bicapitata																	LC				
1980	Iris bismarckiana																EN					
1981	Iris boissieri											CR										
1982	Iris bostrensis																EN					
1983	Iris brevicaulis																LC					
1984	Iris calabra																	NT				
1985	Iris camillae														VU							
1986	Iris cedreti																CR					
1987	Iris damascena																CR					
1988	Iris falcata																	DD				
1989	Iris filifolia																	LC				
1990	Iris grant-duffii																EN					
1991	Iris haynei																VU					
1992	Iris hellenica																	DD				
1993	Iris hermona																EN					
1994	Iris histrio																LC				LC	
1995	Iris koreana																EN					
1996	Iris lacustris																	NT				
1997	Iris lortetii																EN					
1998	Iris lusitanica											DD										
1999	Iris marsica											DD										
2000	Iris mesopotamica																DD					
2001	Iris missouriensis																LC					
2002	Iris nigricans																VU					
2003	Iris nusairiensis																CR					
2004	Iris odaesanensis																EN					
2005	Iris orjenii																	VU				
2006	Iris palaestina																LC					
2007	Iris prismatica																LC					
2008	Iris pseudacorus														LC							
2009	Iris pseudopumila																	LC				
2010	Iris revoluta																		CR			
2011	Iris serotina																		DD			
2012	Iris sofarana																EN					
2013	Iris spuria														LC							
2014	Iris timofejewii														EN							
2015	Iris vartanii																VU					
2016	Iris versicolor																LC					
2017	Iris virginica																LC					
2018	Iris westii																EN					
2019	Iris xiphium																		LC			
2020	Iris yebrudii																DD					
2021	Isotria medeoloides															VU						
2022	Jumellea anjouanensis													EN								
2023	Jumellea stenophylla																			LC		
2024	Kabuyea hostifolia									LC												
2025	Kniphofia bequaertii																			EN		
2026	Kniphofia goetzei									VU												
2027	Kniphofia reflexa																					NE
2028	Kraenzlinella gigantea													DD								
2029	Kuhlhasseltia papuana																	DD				
2030	Kylicanthe bueae																					NE
2031	Lachenalia klinghardtiana				LC																	
2032	Lachenalia namibiensis				LC																	
2033	Lachenalia nordenstamii				LC																	
2034	Lachenalia nutans				LC																	
2035	Lankesterella gnomus													NT								
2036	Lapiedra martinezii																		LC			
2037	Ledebouria grandifolia				LC																	
2038	Ledebouria insularis				EN																	
2039	Lemurella virescens													NT					VU			
2040	Leochilus leochilinus													LC								
2041	Leopoldia bicolor																	NT				
2042	Leopoldia gussonei											EN										
2043	Leopoldia maritima																				VU	
2044	Lepanthes applanata													DD								
2045	Lepanthes binaria																		EN			
2046	Lepanthes chapina																		DD			
2047	Lepanthes erythrocles													DD								
2048	Lepanthes lancifolia																		DD			
2049	Lepanthes lindleyana													LC								
2050	Lepanthes mucronata													LC								
2051	Lepanthes panope																		CR			
2052	Lepanthes pilosa																		DD			
2053	Lepanthes prolifera																		LC			
2054	Lepanthes scopulifera																		DD			
2055	Lepanthes sinuosa																		CR			
2056	Lepanthes systole																		VU			
2057	Leucojum aestivum														LC							
2058	Leucojum ionicum																		LC			
2059	Leucojum vernum														LC							
2060	Ligeophila stigmatoptera													LC								
2061	Liparis ambohimangana																			EN		
2062	Liparis ascendens																				EN	
2063	Liparis bautingensis				EN																	
2064	Liparis bulbophylloides																			VU		
2065	Liparis chalandei																				LC	
2066	Liparis disepala																				LC	
2067	Liparis glaucescens																		VU			
2068	Liparis goodyeroides																					NE
2069	Liparis harketii																			LC		
2070	Liparis henrici																			VU		
2071	Liparis kamerunensis																				CR	
2072	Liparis laxa																				LC	
2073	Liparis leratii																				VU	
2074	Liparis letouzeyana																				CR	
2075	Liparis longicaulis																			VU		
2076	Liparis longipetala																			LC		
2077	Liparis miniata																	DD				
2078	Liparis petelotii															LC						
2079	Liparis phalacrocorax																				LC	
2080	Liparis philippinensis																		LC			
2081	Liparis polycardia																			VU		
2082	Liparis puncticulata																			VU		
2083	Liparis rosseelii																				EN	
2084	Liparis sula																				LC	
2085	Liparis swenssonii													LC								
2086	Liparis vulturiceps																		EN			
2087	Liparis warpuri																			EN		
2088	Liparis zosterops																				NT	
2089	Lueddemannia pescatorei													LC								
2090	Luisia volucris																		VU			
2091	Macradenia paraensis														LC							
2092	Macropodanthus membraniferus																		CR			
2093	Malaxis bayardii															CR						
2094	Malaxis brachystachys													LC								
2095	Malaxis insperata																		DD			
2096	Malaxis javesiae															LC						
2097	Malaxis lepanthiflora																		LC			
2098	Malaxis muscifera															VU						
2099	Malaxis seychellarum											VU										
2100	Malaxis wendtii															NT						
2101	Manniella cypripedioides				EN																EN	
2102	Margelliantha burttii																			LC		
2103	Margelliantha lebelii																	LC				
2104	Masdevallia apparitio													CR								
2105	Masdevallia atahualpa													EN								
2106	Masdevallia gargantua													DD								
2107	Masdevallia notosibirica														VU							
2108	Masdevallia oreas														NT							
2109	Masdevallia strumifera													LC								
2110	Mastigostyla candaravensis													DD								
2111	Mastigostyla orurensis													CR								
2112	Mastigostyla shepardiae													LC								
2113	Maxillaria angustisegmenta													LC								
2114	Maxillaria broadwayi																	CR				
2115	Mediocalcar agathodaemonis																			LC		
2116	Mediocalcar arfakense																			LC		
2117	Mediocalcar bifolium																			LC		
2118	Mediocalcar bulbophylloides																				VU	
2119	Mediocalcar congestum																			LC		
2120	Mediocalcar crenulatum																			LC		
2121	Mediocalcar decoratum																			LC		
2122	Mediocalcar geniculatum																			LC		
2123	Mediocalcar papuanum																			DD		
2124	Mediocalcar paradoxum																			LC		
2125	Mediocalcar pygmaeum																			LC		
2126	Mediocalcar stevenscoodei																				NT	
2127	Mediocalcar subteres																			LC		
2128	Mediocalcar umboiense																				VU	
2129	Mediocalcar uniflorum																			LC		
2130	Mediocalcar versteegii																				LC	
2131	Megastylis montana																				VU	
2132	Mexipedium xerophyticum																CR					
2133	Microchilus schultesianus																	EN				
2134	Microcoelia bulbocalcarata																			LC		
2135	Microcoelia nyungwensis																			LC		
2136	Moraea callista									VU												
2137	Moraea garipensis				LC																	
2138	Moraea graniticola				LC																	
2139	Moraea hexaglottis				LC																	
2140	Moraea huttonii										LC											
2141	Moraea inyangani																				LC	
2142	Moraea iringensis									LC												
2143	Moraea niassensis																				VU	
2144	Moraea stagnalis										VU											
2145	Mormodes auriculata													DD								
2146	Mormolyca acutifolia													LC								
2147	Mormolyca hedwigiae													LC								
2148	Muscari parviflorum																	LC				
2149	Myrmecophila thomsoniana														EN							
2150	Myrmecophila thomsoniana var. minor														EN							
2151	Myrmecophila thomsoniana var. thomsoniana														EN							
2152	Myrosmodes brevis																			DD		
2153	Myrosmodes chiogena																			LC		
2154	Myrosmodes gymnandra																			LC		
2155	Myrosmodes nervosa																			LC		
2156	Myrosmodes nubigenum																			LC		
2157	Myrosmodes paludosa																			LC		
2158	Myrosmodes rhynchocarpum																			LC		
2159	Myrosmodes rostratum																				DD	
2160	Mystacidium nguruense													CR								
2161	Mystacidium pulchellum													EN								
2162	Narcissus albicans																		DD			
2163	Narcissus albimarginatus																		EN			
2164	Narcissus alcaracensis						EN												EN			
2165	Narcissus asturiensis											LC										
2166	Narcissus atlanticus																		DD			
2167	Narcissus bugei						EN															
2168	Narcissus calcicola											LC										
2169	Narcissus cantabricus																		LC			
2170	Narcissus cavanillesii																		LC			
2171	Narcissus cuatrecasasii																		NT			
2172	Narcissus cyclamineus											LC										
2173	Narcissus dubius																		LC			
2174	Narcissus elegans																		LC			
2175	Narcissus eugeniae																		LC			
2176	Narcissus foliosus																		DD			
2177	Narcissus gaditanus																		NT			
2178	Narcissus hedraeanthus																		LC			
2179	Narcissus hesperidis																		DD			
2180	Narcissus jacquemoudii																		EN			
2181	Narcissus jeanmonodii																		EN			
2182	Narcissus jonquilla																	DD				
2183	Narcissus longispathus						EN															
2184	Narcissus lusitanicus																		VU			
2185	Narcissus magni-abilii																		DD			
2186	Narcissus munozii-garmendiae																		NT			
2187	Narcissus nevadensis											EN							EN			
2188	Narcissus obesus																		LC			
2189	Narcissus obsoletus																		LC			
2190	Narcissus poeticus														LC							
2191	Narcissus radinganorum						EN															
2192	Narcissus scaberulus											LC										
2193	Narcissus segurensis																		VU			
2194	Narcissus serotinus																		LC			
2195	Narcissus supramontanus																		DD			
2196	Narcissus tingitanus																		EN			
2197	Narcissus triandrus											LC										
2198	Narcissus viridiflorus																		NT			
2199	Narcissus willkommii																		EN			
2200	Narcissus yepesii																		VU			
2201	Neobenthamia gracilis													VU								
2202	Neobolusia ciliata																		EN			
2203	Neobolusia stolzii																				VU	
2204	Neobolusia stolzii var. glabripetala																				VU	
2205	Neottia acuminata																		LC			
2206	Neottia cordata																	LC				
2207	Neottia nidus-avis														LC							
2208	Neottianthe camptoceras				EN																	
2209	Nolina beldingii																				VU	
2210	Nolina bigelovii																			LC		
2211	Nolina brandegeei																				VU	
2212	Nolina excelsa																				VU	
2213	Nolina orbicularis																				VU	
2214	Nolina parviflora																				VU	
2215	Nolina robusta																				VU	
2216	Nolina rodriguezii																				VU	
2217	Notylia inversa													DD								
2218	Oberonia irrorata																	DD				
2219	Oberonia mindorensis														DD							
2220	Octarrhena saccolabioides																				CR	
2221	Octarrhena torricellensis																	DD				
2222	Octomeria rodeiensis													DD								
2223	Octomeria taracuana													LC								
2224	Oeceoclades maculata													LC								
2225	Oeonia brauniana													LC					VU			
2226	Oligophyton drummondii																		LC			
2227	Oncidium dactyliferum																		LC			
2228	Oncidium ensatum															LC						
2229	Oncidium hastilabium																		LC			
2230	Oncidium lancifolium													LC								
2231	Oncidium planilabre																		LC			
2232	Oncidium tenuifolium														LC							
2233	Ophioglossella chrysostoma																			LC		
2234	Ophrys argolica											VU										
2235	Ophrys atlantica																		LC			
2236	Ophrys bertolonii											LC										
2237	Ophrys insectifera											LC										
2238	Ophrys kotschyi											NT										
2239	Ophrys lepida																		LC			
2240	Ophrys lunulata											NT						LC				
2241	Ophrys melitensis																		LC			
2242	Orchis brancifortii											LC							LC			
2243	Orchis laeta																		NT			
2244	Orchis pauciflora											LC										
2245	Orchis quadripunctata																		LC			
2246	Orchis sitiaca											EN										
2247	Oreorchis oligantha																		LC			
2248	Oreorchis sanguinea																	CR				
2249	Orleanesia amazonica													LC								
2250	Ornithidium nubigenum													LC								
2251	Ornithogalum broteroi										LC											
2252	Ornithogalum corsicum																		LC			
2253	Ornithogalum fuscescens																	EN				
2254	Ornithogalum gabrielianiae														CR							
2255	Ornithogalum hyrcanum														VU							
2256	Ornithogalum libanoticum																	EN				
2257	Ornithogalum pedicellare																	LC				
2258	Ornithogalum reverchonii																		LC			
2259	Ossiculum aurantiacum				CR														EN			
2260	Oxystophyllum tropidoneuron																		DD			
2261	Pachyplectron arifolium																	NT				
2262	Pachyplectron neocaledonicum																				LC	
2263	Pachystoma nutans																		DD			
2264	Palmorchis imuyaensis																LC					
2265	Palmorchis trilobulata													LC								
2266	Pamianthe parviflora			VU																		
2267	Pancratium foetidum																		LC			
2268	Pancratium illyricum																		LC			
2269	Panisea yunnanensis				EN																	
2270	Paphiopedilum acmodontum															EN						
2271	Paphiopedilum adductum				CR											CR						
2272	Paphiopedilum appletonianum															EN						
2273	Paphiopedilum areeanum															EN						
2274	Paphiopedilum argus															EN						
2275	Paphiopedilum armeniacum				EN											EN						
2276	Paphiopedilum barbatum															EN						
2277	Paphiopedilum barbigerum				EN											EN						
2278	Paphiopedilum bellatulum															EN						
2279	Paphiopedilum bougainvilleanum															CR						
2280	Paphiopedilum bullenianum															EN						
2281	Paphiopedilum callosum															EN						
2282	Paphiopedilum canhii															CR						
2283	Paphiopedilum charlesworthii															EN						
2284	Paphiopedilum ciliolare				EN											EN						
2285	Paphiopedilum concolor															EN						
2286	Paphiopedilum cornuatum															CR						
2287	Paphiopedilum dayanum															CR						
2288	Paphiopedilum delenatii															CR						
2289	Paphiopedilum dianthum				EN											EN						
